ood_tier,ood_task_id,EXP_ID,EXP_NAME,name_short,order,MOLECULE_MODE,RT_ARCHITECTURE,RT_HEAD_TYPE,K,n_runs,n_completed_model_seeds,seeds_present,n_query_mean,n_support_mean,mape_pct_mean,mape_pct_std,mape_pct_sem,mape_pct_ci95_low,mape_pct_ci95_high,mape_pct_n,r2_mean,r2_std,r2_sem,r2_ci95_low,r2_ci95_high,r2_n,mae_sec_mean,mae_sec_std,mae_sec_sem,mae_sec_ci95_low,mae_sec_ci95_high,mae_sec_n,rmse_sec_mean,rmse_sec_std,rmse_sec_sem,rmse_sec_ci95_low,rmse_sec_ci95_high,rmse_sec_n,median_ae_sec_mean,median_ae_sec_std,median_ae_sec_sem,median_ae_sec_ci95_low,median_ae_sec_ci95_high,median_ae_sec_n,spearman_mean,spearman_std,spearman_sem,spearman_ci95_low,spearman_ci95_high,spearman_n,rank_mape,rank_mae,rank_r2
internal_heldout_repoRT_ood,0097,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,23.013477476464953,13.488069538659522,4.265302098090062,14.65348536420843,31.373469588721477,10,0.949961047205457,0.01419169054242846,0.004487806596234438,0.9411649462768376,0.9587571481340765,10,53.05043391883373,14.37624368405573,4.546167423922619,44.1399457679454,61.960922069722066,10,96.81847216726959,13.397310582763856,4.236601596221155,88.51473303867613,105.12221129586305,10,19.25066828727722,13.083020671815781,4.137214399800414,11.14172806366841,27.359608510886034,10,0.9574874507636624,0.014595918908059094,0.004615634829258451,0.9484408064983159,0.9665340950290089,10,1.0,1.0,2.0
internal_heldout_repoRT_ood,0097,E7,M2 joint multitask × R0 device encoder + single head,M2-R0,7,M2_joint,R0_device_single,single,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,24.51834963774006,8.827205257222454,2.791407398663544,19.047191136359512,29.989508139120606,10,0.9516333576353428,0.012037645887923408,0.0038066378672397946,0.9441723474155529,0.9590943678551328,10,53.20929650962353,7.175048000841541,2.2689494003696997,48.762155684898914,57.65643733434814,10,95.25048449744438,12.650325104367633,4.000384047140899,87.4097317650482,103.09123722984054,10,22.20852541923523,8.330821638614978,2.6344371158639475,17.045028672141893,27.372022166328566,10,0.9553612416371337,0.01310418472434432,0.004143907060851377,0.947239183797865,0.9634832994764023,10,2.0,2.0,1.0
internal_heldout_repoRT_ood,0097,E4,M1 RadonPy pretrain × R0 device encoder + single head,M1-R0,4,M1_pretrain,R0_device_single,single,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,30.24138703229347,17.58401652872853,5.560554264482976,19.34270067390684,41.1400733906801,10,0.9436503586208538,0.01789448193225621,0.005658732045466051,0.9325592438117403,0.9547414734299673,10,62.94873234629631,15.25545015679136,4.824196922663352,53.49330637787614,72.40415831471648,10,102.31955581014118,17.27620482932832,5.463215658427802,91.61165311962269,113.02745850065968,10,29.503103971481323,13.393071180426315,4.2352609794907075,21.201992451679537,37.80421549128311,10,0.9480977690030382,0.013312506655622903,0.004209784239791917,0.9398465918930461,0.9563489461130303,10,3.0,3.0,3.0
internal_heldout_repoRT_ood,0097,E5,M1 RadonPy pretrain × R1 device encoder + multitask heads,M1-R1,5,M1_pretrain,R1_device_multi,multi,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,51.844499712045454,6.233742750663387,1.9712825439659412,47.98078592587221,55.7082134982187,10,0.751027407287747,0.022911335039480753,0.0072452002959983,0.7368268147075903,0.7652279998679037,10,155.0822540074587,8.73946860096672,2.763662631858006,149.665475249017,160.49903276590038,10,217.60428374328848,10.124708603446495,3.201713983239344,211.32892433613935,223.8796431504376,10,78.63659477233887,24.181894417105894,7.646986449576442,63.648501331169044,93.62468821350869,10,0.9526659608887484,0.013118336299433864,0.004148382181827563,0.9445351318123664,0.9607967899651305,10,4.0,6.0,6.0
internal_heldout_repoRT_ood,0097,E2,M0 no PolyOmics × R1 device encoder + multitask heads,M0-R1,2,M0_no_aux,R1_device_multi,multi,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,53.890918678445566,5.651439301627202,1.7871420251333288,50.38812030918424,57.39371704770689,10,0.7697509380085796,0.014625923984058256,0.004625123267410832,0.7606856964044544,0.7788161796127049,10,150.46760308742523,5.704358293284036,1.803876479644833,146.93200518732135,154.0032009875291,10,209.3697140922127,6.689544585151794,2.1154197398325865,205.2234914021408,213.51593678228457,10,72.49858117103577,16.391863480312825,5.183562369232314,62.338798927340434,82.6583634147311,10,0.9373594282436001,0.014329276453328425,0.004531315081473726,0.9284780506839115,0.9462408058032886,10,5.0,4.0,4.0
internal_heldout_repoRT_ood,0097,E6,M1 RadonPy pretrain × R2 no-device + multitask heads,M1-R2,6,M1_pretrain,R2_nodevice_multi,multi,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,54.666819235096455,4.20375263867956,1.3293433058170248,52.06130635569509,57.27233211449782,10,0.7206138327629271,0.016672592517756022,0.005272336685599034,0.710280052859153,0.7309476126667013,10,166.27156169712543,5.3870537958482725,1.703535987273626,162.93263116206913,169.61049223218174,10,230.64495412118805,6.860364988027371,2.169437894224026,226.39285584850896,234.89705239386714,10,78.48257303237915,17.756319510178887,5.615041251385063,67.47709217966442,89.48805388509388,10,0.943494264797117,0.015986726417568948,0.005055446780950195,0.9335855891064546,0.9534029404877793,10,6.0,8.0,8.0
internal_heldout_repoRT_ood,0097,E3,M0 no PolyOmics × R2 no-device + multitask heads,M0-R2,3,M0_no_aux,R2_nodevice_multi,multi,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,56.44803310224821,5.318061351540336,1.681718660738086,53.15186452720156,59.74420167729486,10,0.7222728909533893,0.021186635489556765,0.006699802410275591,0.7091412782292491,0.7354045036775295,10,166.01616291701794,5.562835139739491,1.7591229289597836,162.56828197625677,169.4640438577791,10,229.8972839989598,8.853366660063802,2.79968036063993,224.40991049210555,235.38465750581406,10,76.13041663169861,13.412912468592383,4.24153534572236,67.81700735408279,84.44382590931443,10,0.9372371932890248,0.016465359650433848,0.005206803898920479,0.9270318576471406,0.947442528930909,10,7.0,7.0,7.0
internal_heldout_repoRT_ood,0097,E8,M2 joint multitask × R1 device encoder + multitask heads,M2-R1,8,M2_joint,R1_device_multi,multi,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,57.29116356958961,7.897658940916397,2.4974590436488984,52.396143844037766,62.18618329514145,10,0.7547264803159828,0.015236839247172212,0.004818311636290947,0.7452825895088525,0.764170371123113,10,154.89648278057575,5.725203836092238,1.810468419078479,151.34796467918193,158.44500088196958,10,216.098671958163,6.696320870582006,2.117562589436075,211.9482492828683,220.24909463345773,10,85.54982542991638,28.38658412896671,8.97662608395217,67.95563830537013,103.14401255446263,10,0.9471837231760475,0.011827790077790643,0.0037402756332158564,0.9398527829349445,0.9545146634171505,10,8.0,5.0,5.0
internal_heldout_repoRT_ood,0097,E9,M2 joint multitask × R2 no-device + multitask heads,M2-R2,9,M2_joint,R2_nodevice_multi,multi,0,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",96.0,0.0,57.46053234155339,5.983210909687538,1.8920574195780628,53.752099799180385,61.16896488392639,10,0.7120189643746032,0.010872007025983184,0.003438030493946028,0.705280424606469,0.7187575041427374,10,168.80750659108162,3.35193607927955,1.0599752581818105,166.72995508504528,170.88505809711796,10,234.22159458522145,4.412635225639757,1.395397779651266,231.48661493710497,236.95657423333793,10,91.17830157279968,24.546717051275166,7.762353496172169,75.96408872030223,106.39251442529714,10,0.9418400184118649,0.012698937319094107,0.004015756579204982,0.9339691355166232,0.9497109013071067,10,9.0,9.0,9.0
internal_heldout_repoRT_ood,0097,E4,M1 RadonPy pretrain × R0 device encoder + single head,M1-R0,4,M1_pretrain,R0_device_single,single,5,10,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",91.0,5.0,42.21519997782103,16.99270925577331,5.373566486526838,31.68300966422843,52.74739029141363,10,0.7874911328356994,0.28720959430767395,0.09082364838651806,0.6094767819981239,0.9655054836732748,10,108.74359635468367,70.28135634968676,22.224916311094752,65.18276038493796,152.3044323244294,10,176.25229497820789,104.19060635994636,32.947962689145584,111.67428810748254,240.83030184893323,10,53.84840726852417,31.32694279591296,9.90644913648883,34.43176696100606,73.26504757604228,10,0.8910515355796178,0.05665348686088943,0.017915405587083346,0.8559373406289345,0.9261657305303012,10,1.0,6.0,9.0
