model,ood_tier,method_id,K,base_split_seed,support_split_seed,optimization_seed,protocol,n_test_rows,mae_sec,rmse_sec,mean_error_sec,spearman,r2,prediction_unique,prediction_std
Graphormer-RT scratch179,internal_OOD,0097,0,2004,,23,zero-shot,96,95.73956078384072,149.46481404100194,-11.808341077994553,0.8898636784772137,0.8827671728926062,96,416.10137886183315
Graphormer-RT scratch179,internal_OOD,0097,0,2006,,24,zero-shot,96,124.79224198614247,176.06309959254017,98.50797825492918,0.9157231622006947,0.8373298029701188,96,509.8847104602757
Graphormer-RT scratch179,internal_OOD,0097,0,2011,,23,zero-shot,96,138.9447506517172,195.79319223636952,-48.781556834001094,0.9120017869169585,0.7988284878158901,96,321.1400966288945
Graphormer-RT scratch179,internal_OOD,0097,0,2012,,23,zero-shot,96,148.9133392169606,199.91212777543493,112.37364684347995,0.9204699529367014,0.7902752964186182,96,515.9846866296438
Graphormer-RT scratch179,internal_OOD,0097,0,2016,,24,zero-shot,96,106.76222358597443,158.1719059963959,11.646880302578213,0.9014963716542944,0.8687104977098863,96,369.3751247599333
Graphormer-RT scratch179,internal_OOD,0097,0,2020,,23,zero-shot,96,134.96190425939858,177.2232907290579,26.967764715664092,0.8953302972790526,0.8351788656412622,96,373.24497283213617
Graphormer-RT scratch179,internal_OOD,0097,0,2022,,23,zero-shot,96,108.56107226572931,151.66274147229274,-34.71283620456234,0.8722618450183738,0.8792939300139491,96,367.67251637165026
Graphormer-RT scratch179,internal_OOD,0097,0,2027,,23,zero-shot,96,143.58693937538192,198.42192657541017,69.17817227076739,0.8669649969867783,0.7933903365885612,96,369.819374720545
Graphormer-RT scratch179,internal_OOD,0097,0,2032,,23,zero-shot,96,106.07007832732052,147.92910993030003,44.534569897223264,0.9450663421295713,0.885163857816607,96,382.63413614498484
Graphormer-RT scratch179,internal_OOD,0097,0,2034,,24,zero-shot,96,115.82222447032109,161.22534899338123,-30.44692683033644,0.897931185479182,0.8635925917432699,96,399.05828664448944
Graphormer-RT scratch179,internal_OOD,0097,5,2004,2004,23,K-shot fine-tuning,91,153.2856247050094,204.62726338073105,119.42983686842106,0.8785431661153953,0.7464936152816657,91,389.2249660977642
Graphormer-RT scratch179,internal_OOD,0097,5,2006,2006,24,K-shot fine-tuning,91,124.61314273353379,177.52215825088606,101.32061781945055,0.906910495895693,0.8375286739509452,91,514.7307662460032
Graphormer-RT scratch179,internal_OOD,0097,5,2011,2011,23,K-shot fine-tuning,91,118.00704772103127,198.1551755496015,25.07852403201409,0.8654918629065312,0.7821516644296994,91,397.1496985101242
Graphormer-RT scratch179,internal_OOD,0097,5,2012,2012,23,K-shot fine-tuning,91,81.56031831986384,146.94152302425698,-56.94365887493304,0.9267579520671702,0.8890146673064521,91,376.88560688207366
Graphormer-RT scratch179,internal_OOD,0097,5,2016,2016,24,K-shot fine-tuning,91,124.02394068795819,168.02185662232944,55.253004212607884,0.9103146532496114,0.85381220167263,91,360.2915377787741
Graphormer-RT scratch179,internal_OOD,0097,5,2020,2020,23,K-shot fine-tuning,91,356.970779101395,514.6595188033234,-352.2997196241804,0.6881815157432496,-0.3732147312894343,91,127.05885149273264
Graphormer-RT scratch179,internal_OOD,0097,5,2022,2022,23,K-shot fine-tuning,91,141.77059506547155,223.34617602492375,-106.6740058556936,0.8248034816972512,0.7379842363874889,91,336.76452948935207
Graphormer-RT scratch179,internal_OOD,0097,5,2027,2027,23,K-shot fine-tuning,91,143.49875590446723,199.78366522734248,71.52722470441853,0.865767741184108,0.7850875866047999,91,365.73069734611926
Graphormer-RT scratch179,internal_OOD,0097,5,2032,2032,23,K-shot fine-tuning,91,150.96558099305565,223.04024473284787,-102.93048824398564,0.8919786729857447,0.7440668259565262,91,307.772644408647
Graphormer-RT scratch179,internal_OOD,0097,5,2034,2034,24,K-shot fine-tuning,91,232.52096293228013,258.2971386965757,160.87875363754702,0.890026660802608,0.6507844112079746,91,266.37551568497673
Graphormer-RT scratch179,internal_OOD,0097,20,2004,2004,23,K-shot fine-tuning,76,96.28564304684436,162.42388606632343,-37.09669364309919,0.8831685501884687,0.8488354081007184,76,412.30275312369804
Graphormer-RT scratch179,internal_OOD,0097,20,2006,2006,24,K-shot fine-tuning,76,84.68435058603063,148.59827688063947,-59.31942829384322,0.9138112068593714,0.8863824766250683,76,394.02512565883916
Graphormer-RT scratch179,internal_OOD,0097,20,2011,2011,23,K-shot fine-tuning,76,119.49778113232337,183.7592024085895,-3.7913922814799315,0.8868336060542842,0.8153642293961584,76,411.1839558412049
Graphormer-RT scratch179,internal_OOD,0097,20,2012,2012,23,K-shot fine-tuning,76,93.64714625438577,147.6021769834705,-43.50985268645576,0.9111441575809258,0.8917546966945296,76,386.82605067705424
Graphormer-RT scratch179,internal_OOD,0097,20,2016,2016,24,K-shot fine-tuning,76,80.66990919791064,141.75962155815424,-7.358427346365425,0.9023150961433143,0.8940835041209974,76,411.3840254832707
Graphormer-RT scratch179,internal_OOD,0097,20,2020,2020,23,K-shot fine-tuning,76,118.47138055600226,197.3919805943362,-83.88375618347996,0.9008037525607401,0.8038552637832045,76,395.1576643258095
Graphormer-RT scratch179,internal_OOD,0097,20,2022,2022,23,K-shot fine-tuning,76,131.09769411752686,205.34625146722024,-112.75048082767937,0.8411946011133694,0.7724605244438306,76,363.15050886327606
Graphormer-RT scratch179,internal_OOD,0097,20,2027,2027,23,K-shot fine-tuning,76,139.09392726705656,192.418947518772,68.56465559011619,0.8870022575688039,0.8025323872962409,76,368.27301424068827
Graphormer-RT scratch179,internal_OOD,0097,20,2032,2032,23,K-shot fine-tuning,76,141.53976192526324,206.09012478266555,-105.86668991508256,0.9417988866872062,0.778339202146159,76,318.75872654650317
Graphormer-RT scratch179,internal_OOD,0097,20,2034,2034,24,K-shot fine-tuning,76,94.78150909815572,152.18442051127798,-46.691439316706045,0.8996172108922175,0.8717927106584129,76,387.5339547822722
Graphormer-RT scratch179,internal_OOD,0238,0,2004,,23,zero-shot,580,20.611668293613235,32.68991927531234,1.7423884860834038,0.9573110417883086,0.9328291651575976,554,123.31081170748287
Graphormer-RT scratch179,internal_OOD,0238,0,2006,,24,zero-shot,580,28.973390907249897,38.44345403759319,-17.236926862849565,0.9538205050689893,0.9071038208763337,552,126.65302321753079
Graphormer-RT scratch179,internal_OOD,0238,0,2011,,23,zero-shot,580,27.376114700896792,38.245331487349475,-6.15018613913482,0.9471964486752901,0.9080588548464789,553,120.7160088818555
Graphormer-RT scratch179,internal_OOD,0238,0,2012,,23,zero-shot,580,26.83098364023267,36.58605042917062,-14.071549735521769,0.9631402636069412,0.9158635648475192,552,112.02512572083523
Graphormer-RT scratch179,internal_OOD,0238,0,2016,,24,zero-shot,580,29.597929541366817,40.838784491685175,-14.239893372146541,0.9499897119592231,0.8951668429766747,551,111.39767834244962
