mae_sec,median_ae_sec,rmse_sec,mape_pct,mape_n_rows,r2,spearman,n_query,EXP_ID,EXP_NAME,name_short,order,MOLECULE_MODE,RT_ARCHITECTURE,RT_HEAD_TYPE,USE_DEVICE_METADATA,JOINT_MULTITASK,seed,ood_tier,ood_task_id,ood_method_id,K,repeat_seed,repeat_index,protocol,mode,n_total,n_support,checkpoint_path,checkpoint_name,checkpoint_epoch,checkpoint_best_score,model_load_status,support_indices_path,ood_head_epochs,ood_head_lr
375.9022243206318,336.29176139831543,486.4358910668326,37.97844363082466,156,-2.9171390543169067,0.19076580226643639,156,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2006,new_report_low_overlap_ood,0420,0420,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,156,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2006/best_model.pt,best_model.pt,127,33.55589778647239,strict,,,
400.3672042451327,372.10023164749146,426.60521045807883,67.56140637701537,1896,-2.79465642583565,0.8560871039144768,1896,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2006,new_report_low_overlap_ood,0437,0437,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,1896,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2006/best_model.pt,best_model.pt,127,33.55589778647239,strict,,,
202.0876509379579,201.8532657623291,215.39816722635854,127.93094840643575,3381,-7.303238092029233,0.8500404499380712,3381,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2011,new_report_low_overlap_ood,0390,0390,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,3381,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2011/best_model.pt,best_model.pt,68,41.280745093878366,strict,,,
196.85637637209663,194.95160579681396,207.74448964979103,123.86671615308306,6541,-6.781741718505205,0.8192362065917133,6541,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2011,new_report_low_overlap_ood,0391,0391,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,6541,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2011/best_model.pt,best_model.pt,68,41.280745093878366,strict,,,
261.11403942108154,270.430212020874,291.52680933977575,70.62107547657229,45,-13.428413186635801,0.758491197902881,45,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2011,new_report_low_overlap_ood,0411,0411,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,45,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2011/best_model.pt,best_model.pt,68,41.280745093878366,strict,,,
287.00927988275305,289.0962839126587,308.06061503546766,86.55863911900711,154,-10.424079391566243,0.7332218866201599,154,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2011,new_report_low_overlap_ood,0419,0419,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,154,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2011/best_model.pt,best_model.pt,68,41.280745093878366,strict,,,
539.4928475526663,511.72179222106934,578.062941891221,55.322048106457345,156,-4.5318194963466985,0.551761688984202,156,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2011,new_report_low_overlap_ood,0420,0420,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,156,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2011/best_model.pt,best_model.pt,68,41.280745093878366,strict,,,
309.05131010315085,313.05158615112305,332.84021010646006,55.071281959535035,1896,-1.3098922737504295,0.8478190442998934,1896,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2011,new_report_low_overlap_ood,0437,0437,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,1896,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2011/best_model.pt,best_model.pt,68,41.280745093878366,strict,,,
118.68343858033445,82.3593521118164,157.19038207975362,69.9826014848923,3381,-3.4219662559552635,0.8115212418216529,3381,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2012,new_report_low_overlap_ood,0390,0390,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,3381,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2012/best_model.pt,best_model.pt,80,36.956821451246185,strict,,,
131.6446063737588,96.05624198913574,171.97010632538286,74.11314831471152,6541,-4.33241211385508,0.7578964383384338,6541,E1,M0 no PolyOmics × R0 device encoder + single head,M0-R0,1,M0_no_aux,R0_device_single,single,True,False,2012,new_report_low_overlap_ood,0391,0391,0,-1,0,single_zero_shot_direct,zero_shot_direct_single_head,6541,0,ORIGINAL_WORKSPACE/RepoRT_PolyOmics_9exp_weight_only_notebooks/outputs/E1/seed_2012/best_model.pt,best_model.pt,80,36.956821451246185,strict,,,
