ood_tier,method_id,K,n_runs,n_query_mean,mae_sec_mean,mae_sec_std,mae_sec_n,rmse_sec_mean,rmse_sec_std,rmse_sec_n,mean_error_sec_mean,mean_error_sec_std,mean_error_sec_n,spearman_mean,spearman_std,spearman_n,r2_mean,r2_std,r2_n
external_OOD,0390,0,10,7333.0,80.41731353263556,9.35451281975814,10,93.78636584864982,8.335795543186196,10,74.5235886663548,11.420297490387357,10,0.726996217560111,0.03406030561409684,10,-0.47470495776796273,0.25993088472224474,10
external_OOD,0390,5,10,7322.6,53.48246338159228,12.634159669421996,10,66.83991542938001,13.600304678422471,10,16.615411369399844,34.60630023947457,10,0.7067454420420793,0.08040660816863421,10,0.22853689935713098,0.3139655201901914,10
external_OOD,0390,20,10,7292.0,49.11017183377344,7.095352695621644,10,62.45727363943794,7.659972961465302,10,15.982828013738052,23.63718817851245,10,0.723327098581479,0.031449941757033355,10,0.34148003174456015,0.16456261744617426,10
external_OOD,0390,100,10,7127.4,40.396578221703884,3.360089754259486,10,52.650182477428515,4.3478890486172155,10,-2.8608378899182942,11.4943326332894,10,0.7718420856874731,0.030838023452368635,10,0.5355211556250692,0.08133989581179184,10
external_OOD,0390,1000,10,5252.6,31.509183415658345,0.9194635212993064,10,41.860432223617416,0.9836057122585662,10,-2.784898478527615,6.020251138410694,10,0.8519749329518541,0.007217023373077349,10,0.704982902475245,0.015334142493385107,10
external_OOD,0391,0,10,9686.0,98.81477416788904,13.594722849456497,10,114.88003018404785,12.979193562522434,10,92.49551965459494,16.436466385097805,10,0.525653335777686,0.030194902030984037,10,-1.3594275070744297,0.5256537539107828,10
external_OOD,0391,5,10,9678.1,59.61156801472276,10.532322944037377,10,74.93935252874978,11.19787950955834,10,2.137112445505333,38.05849234676281,10,0.5242338734609426,0.05122995267403188,10,-0.012488980036593022,0.3297358824070011,10
external_OOD,0391,20,10,9656.6,54.79272358726585,4.0031146986749535,10,69.67372302878154,5.095292887200321,10,3.940696716266202,21.892599532179574,10,0.5316023570458677,0.04791401286111137,10,0.1378672140442804,0.12521314185452806,10
external_OOD,0391,100,10,9542.8,48.7365068988743,3.2124776819520937,10,62.55126316661147,4.34584033095761,10,-12.839450230481066,14.298584440990062,10,0.6076337944132562,0.02593440369217868,10,0.30625233990260087,0.09776163007581452,10
external_OOD,0391,1000,10,8286.3,39.51296902152422,1.4413865084468471,10,51.693238179218675,1.6217180043779091,10,-3.819766459002493,5.497325056216072,10,0.7269001042022913,0.020146832742483717,10,0.5279143009626457,0.031949828682308376,10
external_OOD,0411,0,10,50.0,54.013245049864054,5.501692373176396,10,67.56660957164718,5.788414753867958,10,-23.538895379751924,22.027240559857812,10,0.41581614382305476,0.11869905956549495,10,0.15581064222093932,0.14388124644922376,10
external_OOD,0411,5,10,44.8,51.95298086442617,13.732771620527842,10,65.23061618504083,14.969713236465479,10,-23.688942863549475,30.311247168628437,10,0.47856824968387013,0.15113827684651207,10,0.1532361669150282,0.3920611584137704,10
external_OOD,0411,20,10,28.5,43.51544828725327,11.04741039591059,10,54.23793592439123,13.65426708354901,10,7.624618005587098,24.079661346547134,10,0.5466659655986719,0.18741563121535107,10,0.4310576074785745,0.2606236194002238,10
