model,ood_tier,method_id,K,base_split_seed,support_split_seed,optimization_seed,protocol,n_test_rows,mae_sec,rmse_sec,mean_error_sec,spearman,r2,prediction_unique,prediction_std
Graphormer-RT scratch179,external_OOD,0390,0,2004,,23,zero-shot,7333,88.13293278147464,100.31397840670031,83.94674456395238,0.7340253607573148,-0.6752198627163108,3539,66.31582995338843
Graphormer-RT scratch179,external_OOD,0390,0,2006,,24,zero-shot,7333,68.6465195783009,84.66248595196555,61.639095664511544,0.7674258657651571,-0.19324861088092948,3505,84.74383915202411
Graphormer-RT scratch179,external_OOD,0390,0,2011,,23,zero-shot,7333,88.8621354108956,100.42858654806959,86.31200488961824,0.7885533705004548,-0.6790499074184777,3550,72.21498308438782
Graphormer-RT scratch179,external_OOD,0390,0,2012,,23,zero-shot,7333,75.89924893555707,90.48987059766691,66.71017514679926,0.6889718706803393,-0.36316629274525747,3533,59.48076003538257
Graphormer-RT scratch179,external_OOD,0390,0,2016,,24,zero-shot,7333,70.98306256793333,87.36652503416991,61.883277607568346,0.6898012018915416,-0.27068829292965924,3519,68.11244492890363
Graphormer-RT scratch179,external_OOD,0390,0,2020,,23,zero-shot,7333,70.64769051154445,83.71228312137754,63.441716066664384,0.7340580478022369,-0.1666142526147727,3552,64.21392783996443
Graphormer-RT scratch179,external_OOD,0390,0,2022,,23,zero-shot,7333,91.31753182909407,104.79534516332299,86.82891518556036,0.684344653960244,-0.8282386637961654,3534,65.42175611567413
Graphormer-RT scratch179,external_OOD,0390,0,2027,,23,zero-shot,7333,90.29728963744563,101.99877472830651,86.56519550971609,0.7351359910340919,-0.7319638134978506,3552,55.082870611545516
Graphormer-RT scratch179,external_OOD,0390,0,2032,,23,zero-shot,7333,86.61522494997845,99.36709906860925,82.3009918016108,0.7142586451750915,-0.643743796106516,3529,62.85704847849277
Graphormer-RT scratch179,external_OOD,0390,0,2034,,24,zero-shot,7333,72.77149912413145,84.72870986630969,65.60777022754658,0.7333871680346381,-0.1951160849736877,3513,57.59895302246671
Graphormer-RT scratch179,external_OOD,0390,5,2004,2004,23,K-shot fine-tuning,7326,46.5022610617919,61.90678372592839,-20.249036591146126,0.6652419450169191,0.36179809734685686,3473,53.896871406540455
Graphormer-RT scratch179,external_OOD,0390,5,2006,2006,24,K-shot fine-tuning,7327,68.64985463113992,84.65492123639588,61.638796859260296,0.767394149295949,-0.19286457924504208,3473,84.71521789765369
Graphormer-RT scratch179,external_OOD,0390,5,2011,2011,23,K-shot fine-tuning,7318,38.27770466499599,50.16671740213215,-8.762431804466933,0.7930410860058492,0.5812858313166385,3477,54.40177130577986
Graphormer-RT scratch179,external_OOD,0390,5,2012,2012,23,K-shot fine-tuning,7320,49.226364784980895,61.42399186615902,14.948018842766093,0.6696453166328452,0.37240074528122136,3475,45.75801861619439
Graphormer-RT scratch179,external_OOD,0390,5,2016,2016,24,K-shot fine-tuning,7320,67.91686246431142,84.42008780434618,57.65227124965215,0.6901514817078708,-0.18616288005687798,3469,68.37518239845332
Graphormer-RT scratch179,external_OOD,0390,5,2020,2020,23,K-shot fine-tuning,7325,44.59326578297814,57.68702502673878,-23.312404258462756,0.7401815705984602,0.4463429206086795,3475,56.698531909291404
Graphormer-RT scratch179,external_OOD,0390,5,2022,2022,23,K-shot fine-tuning,7318,59.60680099618302,72.1893870301589,28.53874729883387,0.5142088934598916,0.13274253016310933,3477,41.785971879618636
Graphormer-RT scratch179,external_OOD,0390,5,2027,2027,23,K-shot fine-tuning,7327,40.38342654525062,52.0760096588328,-4.4505305243019215,0.774915139365716,0.5487017571126647,3476,47.59159023389493
Graphormer-RT scratch179,external_OOD,0390,5,2032,2032,23,K-shot fine-tuning,7326,46.962009550069965,59.20357512398195,-5.4135488853069065,0.7198418520545504,0.41696828768650884,3477,32.9557481231416
Graphormer-RT scratch179,external_OOD,0390,5,2034,2034,24,K-shot fine-tuning,7319,72.70608333422095,84.67065541912606,65.56423150717067,0.732832986282742,-0.19584371664244915,3471,57.592077242768674
Graphormer-RT scratch179,external_OOD,0390,20,2004,2004,23,K-shot fine-tuning,7290,46.841989357576324,59.568562446056724,21.380953626791513,0.7299958647019319,0.40620136634322,3460,68.25976639535551
Graphormer-RT scratch179,external_OOD,0390,20,2006,2006,24,K-shot fine-tuning,7303,56.623607058961554,72.72803694316066,43.39169342993851,0.7682955243486277,0.11855136856380966,3455,85.87586559887683
Graphormer-RT scratch179,external_OOD,0390,20,2011,2011,23,K-shot fine-tuning,7285,53.86682327960758,65.00378122494064,24.757957610435266,0.6732770386683279,0.29638852625525325,3459,38.799847433946795
Graphormer-RT scratch179,external_OOD,0390,20,2012,2012,23,K-shot fine-tuning,7291,43.602584926172646,57.2175599275624,1.8770002221330713,0.7142163376500357,0.45554685170732456,3459,56.90063850887333
Graphormer-RT scratch179,external_OOD,0390,20,2016,2016,24,K-shot fine-tuning,7296,50.12270436533359,66.38759474802859,24.386828680642218,0.6896444885438477,0.2681630078565549,3453,68.46313252864486
Graphormer-RT scratch179,external_OOD,0390,20,2020,2020,23,K-shot fine-tuning,7297,63.53286793104497,76.49001411651088,53.77736027540512,0.7333579261229918,0.026466487052793974,3460,62.97871855559356
Graphormer-RT scratch179,external_OOD,0390,20,2022,2022,23,K-shot fine-tuning,7288,45.06912855330484,58.42825267562801,13.460844487008567,0.7120222271949875,0.43169550839101845,3460,68.05270909529149
Graphormer-RT scratch179,external_OOD,0390,20,2027,2027,23,K-shot fine-tuning,7292,46.39661005508866,57.64507291832939,12.089136845646278,0.7010164525373583,0.4460268771563063,3459,47.148599983946525
Graphormer-RT scratch179,external_OOD,0390,20,2032,2032,23,K-shot fine-tuning,7291,39.439010818337785,51.47878064187655,-7.909827701775009,0.7677144417791609,0.5574837279721201,3459,64.90546774694612
Graphormer-RT scratch179,external_OOD,0390,20,2034,2034,24,K-shot fine-tuning,7287,45.60639199230646,59.625080752285584,-27.38366733884501,0.7437306842675211,0.4082765961472006,3454,58.88958949988171
Graphormer-RT scratch179,external_OOD,0390,100,2004,2004,23,K-shot fine-tuning,7118,40.96890408978815,53.62840851933579,1.5076563040558149,0.7404492270657526,0.515785625590468,3380,61.61306372580401
Graphormer-RT scratch179,external_OOD,0390,100,2006,2006,24,K-shot fine-tuning,7156,40.338757892541146,52.185197083671284,3.1584853691253505,0.7568206586870937,0.544001857986511,3377,68.91402518812006
Graphormer-RT scratch179,external_OOD,0390,100,2011,2011,23,K-shot fine-tuning,7132,40.190712762557794,51.155515580264,11.05256777485771,0.804729084619837,0.565283759148991,3382,76.0690581164684
Graphormer-RT scratch179,external_OOD,0390,100,2012,2012,23,K-shot fine-tuning,7124,40.35336271755644,53.15963265843991,10.20664965918477,0.7723777066320738,0.5275426641949974,3380,68.6172920413798
Graphormer-RT scratch179,external_OOD,0390,100,2016,2016,24,K-shot fine-tuning,7135,49.15159832429697,64.01380446863494,-23.395822983569275,0.7093320424835243,0.32115902507915883,3368,69.39543354375063
Graphormer-RT scratch179,external_OOD,0390,100,2020,2020,23,K-shot fine-tuning,7112,37.72881780740573,49.16885614165877,3.6792206241151044,0.7926260594253411,0.6009752745761068,3381,57.50049897534128
